barcode,product_family_id,product_title,season,nivel,brand_origin,color_name,color_group,color_intensity,adventurous,application,weather,style,print,basic,fit
755832,SKIRT,Vipen Falda poly ,8,1,MAINSTREAM,brown,brown,oscuro,"('three', 'four')","('night', 'freetime')",both,"('night', 'street', 'boho')",smooth,false,tight
755740,SKIRT,Vipen Falda poly ,8,1,MAINSTREAM,green_dark,green,oscuro,"('three', 'four')","('night', 'freetime')",both,"('night', 'street', 'boho')",smooth,false,tight
755863,SKIRT,Vipen Falda poly ,8,1,MAINSTREAM,aubergine,purple,oscuro,"('three', 'four')","('night', 'freetime')",both,"('night', 'street', 'boho')",smooth,false,tight
755764,SKIRT,Vipen Falda poly ,8,1,MAINSTREAM,rust,brown,oscuro,"('three', 'four')","('night', 'freetime')",both,"('night', 'street', 'boho')",smooth,false,tight
1127393,PANT,Fqsolvej Pant ankle ,9,1,MAINSTREAM,black,black,oscuro,two,"('work', 'working_girl')",both,"('classic', 'minimal')",smooth,false,tight
1127454,PANT,Fqsolvej Pant ankle ,9,1,MAINSTREAM,blue_dark,blue,oscuro,two,"('work', 'working_girl')",both,"('classic', 'minimal')",smooth,false,tight
709941,PANT,Dora Pant film,7,1,OWN_PRODUCTION,blue_dark,blue,oscuro,"('three', 'four')",freetime,warm,boho,"('animal_print', 'printed')",false,straight
709910,PANT,Dora Pant film,7,1,OWN_PRODUCTION,black,black,oscuro,"('three', 'four')",freetime,warm,boho,"('animal_print', 'printed')",false,straight
1197648,TOP,Tropical Top nude,9,2,OWN_PRODUCTION,black,black,oscuro,two,freetime,warm,boho,sheets,false,straight
818735,PANT,Isabella Pant ankel ,8,1,MAINSTREAM,black,black,oscuro,"('two', 'one')","('work', 'working_girl')",both,"('classic', 'minimal')",smooth,true,straight
818803,PANT,Isabella Pant ankel ,8,1,MAINSTREAM,blue_dark,blue,oscuro,"('two', 'one')","('work', 'working_girl')",both,"('classic', 'minimal')",smooth,true,straight
792028,SHIRT,Laurie Shirt mustard,7,2,WHOLE_SALE,mustand,yellow,intenso,"('three', 'four')","('freetime', 'work')",warm,boho,smooth,false,loose
778640,TOP,Liel Top ceris,7,2,WHOLE_SALE,ecru,brown,suave,three,"('night', 'freetime')",warm,street,animal_print,false,straight
661966,PANT,Camille Pant black ,7,1,NO_MAINSTREAM,black,black,oscuro,"('three', 'four')","('freetime', 'night')",both,street,smooth,false,tight
1124293,DRESS,Ihfernando Dress classic ,9,1,MAINSTREAM,white,white,claro,"('two', 'three')","('work', 'freetime')",warm,"('boho', 'classic')",smooth,false,straight
